epoch,training_accuracy,learnable_threshold,Validation_accuracy,Best_accuracy
59.0,99.8443,11.1389,72.9839,75.1008
60.0,99.8999,11.2036,72.6815,75.1008
60.0,99.8999,11.2036,72.6815,75.1008
61.0,99.8554,11.2682,72.2782,75.1008
61.0,99.8554,11.2682,72.2782,75.1008
62.0,99.7887,11.3342,72.7823,75.1008
62.0,99.7887,11.3342,72.7823,75.1008
63.0,99.8109,11.4162,72.379,75.1008
63.0,99.8109,11.4162,72.379,75.1008
64.0,99.8554,11.4679,72.2782,75.1008
64.0,99.8554,11.4679,72.2782,75.1008
65.0,99.911,11.5198,71.371,75.1008
65.0,99.911,11.5198,71.371,75.1008
66.0,99.8665,11.5672,71.0685,75.1008
66.0,99.8665,11.5672,71.0685,75.1008
67.0,99.8999,11.6157,72.7823,75.1008
67.0,99.8999,11.6157,72.7823,75.1008
68.0,99.8554,11.663,73.4879,75.1008
68.0,99.8554,11.663,73.4879,75.1008
69.0,99.9333,11.7119,71.6734,75.1008
69.0,99.9333,11.7119,71.6734,75.1008
70.0,99.8777,11.7606,72.5806,75.1008
70.0,99.8777,11.7606,72.5806,75.1008
71.0,99.8999,11.8074,72.5806,75.1008
71.0,99.8999,11.8074,72.5806,75.1008
72.0,99.6886,11.8677,72.5806,75.1008
72.0,99.6886,11.8677,72.5806,75.1008
73.0,99.5329,11.958,70.5645,75.1008
73.0,99.5329,11.958,70.5645,75.1008
74.0,99.3661,12.0142,70.4637,75.1008
74.0,99.3661,12.0142,70.4637,75.1008
75.0,98.9657,12.07,69.1532,75.1008
75.0,98.9657,12.07,69.1532,75.1008
76.0,98.7433,12.109,70.8669,75.1008
76.0,98.7433,12.109,70.8669,75.1008
77.0,99.1326,12.1461,71.2702,75.1008
77.0,99.1326,12.1461,71.2702,75.1008
78.0,99.3105,12.1717,69.3548,75.1008
78.0,99.3105,12.1717,69.3548,75.1008
79.0,99.3995,12.1973,70.4637,75.1008
79.0,99.3995,12.1973,70.4637,75.1008
80.0,99.4884,12.219,70.9677,75.1008
80.0,99.4884,12.219,70.9677,75.1008
81.0,99.5552,12.2398,71.371,75.1008
81.0,99.5552,12.2398,71.371,75.1008
82.0,99.5329,12.2608,70.9677,75.1008
82.0,99.5329,12.2608,70.9677,75.1008
83.0,99.7331,12.2817,71.0685,75.1008
83.0,99.7331,12.2817,71.0685,75.1008
84.0,99.6441,12.3039,71.1694,75.1008
84.0,99.6441,12.3039,71.1694,75.1008
85.0,99.6775,12.3208,71.5726,75.1008
85.0,99.6775,12.3208,71.5726,75.1008
86.0,99.5996,12.3391,71.1694,75.1008
86.0,99.5996,12.3391,71.1694,75.1008
87.0,99.7887,12.3529,72.5806,75.1008
87.0,99.7887,12.3529,72.5806,75.1008
88.0,99.8443,12.366,71.2702,75.1008
88.0,99.8443,12.366,71.2702,75.1008
89.0,99.6664,12.3799,71.5726,75.1008
89.0,99.6664,12.3799,71.5726,75.1008
90.0,99.7553,12.3943,71.5726,75.1008
90.0,99.7553,12.3943,71.5726,75.1008
91.0,99.8332,12.409,71.7742,75.1008
91.0,99.8332,12.409,71.7742,75.1008
92.0,99.8443,12.4238,70.9677,75.1008
92.0,99.8443,12.4238,70.9677,75.1008
93.0,99.8443,12.4398,70.5645,75.1008
93.0,99.8443,12.4398,70.5645,75.1008
94.0,99.8888,12.4561,70.4637,75.1008
94.0,99.8888,12.4561,70.4637,75.1008
95.0,99.8554,12.4723,71.5726,75.1008
95.0,99.8554,12.4723,71.5726,75.1008
96.0,99.7887,12.4902,69.8589,75.1008
96.0,99.7887,12.4902,69.8589,75.1008
97.0,99.8109,12.5052,71.4718,75.1008
97.0,99.8109,12.5052,71.4718,75.1008
98.0,99.7776,12.5199,70.8669,75.1008
98.0,99.7776,12.5199,70.8669,75.1008
99.0,99.7331,12.5354,70.9677,75.1008
